"NameOfStudent","Class","Age","ParentName","ParentContact","ParentEmail","UniformSize","UniformQty","DateOfAdmission","RegistrationNumber","ReceiptNumber","OrderId","FranchiseId"
"Akshay6","2nd",10,"Parent1",65468753,"Another@something.com",10,2,"ISO Date Format","AG887425","RR2478754","4641429367824201","35465464"
"Akshay7","2nd",10,"Parent1",65468753,"Another@something.com",10,2,"ISO Date Format","AG887425","RR2478754","4641429367824201","35465464"
"Akshay8","2nd",10,"Parent1",65468753,"Another@something.com",10,2,"ISO Date Format","AG887425","RR2478754","4641429367824201","35465464"
"Akshay6","2nd",10,"Parent1",65468753,"Another@something.com",10,2,"ISO Date Format","AG887425","RR2478754","4641429367906931","35465464"
"Akshay7","2nd",10,"Parent1",65468753,"Another@something.com",10,2,"ISO Date Format","AG887425","RR2478754","4641429367906931","35465464"
"Akshay8","2nd",10,"Parent1",65468753,"Another@something.com",10,2,"ISO Date Format","AG887425","RR2478754","4641429367906931","35465464"
"Akshay6","2nd",10,"Parent1",65468753,"Another@something.com",10,,"ISO Date Format","AG887425","RR2478754","4641429370242447","35465464"
"Akshay7","2nd",10,"Parent1",65468753,"Another@something.com",10,,"ISO Date Format","AG887425","RR2478754","4641429370242447","35465464"
"Akshay8","2nd",10,"Parent1",65468753,"Another@something.com",10,,"ISO Date Format","AG887425","RR2478754","4641429370242447","35465464"
"Akshay10","2nd",10,"Parent1",65468753,"Another@something.com",10,,"ISO Date Format","AG887425","RR2478754","4641429454413299","35465464"
"Akshay11","2nd",10,"Parent1",65468753,"Another@something.com",10,,"ISO Date Format","AG887425","RR2478754","4641429454413299","35465464"
"Aksha1238","2nd",10,"Parent1",65468753,"Another@something.com",10,,"ISO Date Format","AG887425","RR2478754","4641429454413299","35465464"
"assa","PlayGroup",12,"asdsa","5465435","adsa@das","1",1,"1990-12-09T18:30:00.000Z","354354354","REC2137123","4661430162466463","SER6465466"
"assa","PlayGroup",12,"asdsa","5465435","adsa@das","1",1,"1990-12-09T18:30:00.000Z","354354354","REC2137123","4661430162672042","SER6465466"
"asdas","PlayGroup",2,"asdas","dada","asdsa@das","1",2,"1990-10-09T18:30:00.000Z","REC1321231212","RD543543","4661430162672042","SER6465466"
"adas","PlayGroup",12,"asddas","das","asdsa@dasd","1",1,"1990-10-09T18:30:00.000Z","asdas","adsads","4661430163464813","SER6465466"
"asa","PlayGroup",12,"asdsa","sdsa","asdsa@dass","1",1,"1990-10-09T18:30:00.000Z","asdas","asdsa","4661430163652237","SER6465466"
"adsas","PlayGroup",12,"sasd","sadas","asdsa@das","1",2,"1990-10-09T18:30:00.000Z","daas","dssa","4661430163703912","SER6465466"
"asdas","PlayGroup",12,"adas","das","adas@das","1",1,"1990-10-09T18:30:00.000Z","asasd","asdas","4661430164130721","SER6465466"
"assa","PlayGroup",12,"asads","asdas","asdas@dasd","1",1,"1990-10-09T18:30:00.000Z","aasd","adassda","4661430164636798","SER6465466"
"daasdas","PlayGroup",12,"adsas","asdsa","asdas@adsas","1",1,"1990-10-09T18:30:00.000Z","asdsa","asdsa","4661430166606770","SER6465466"
"Stud1","PlayGroup",12,"adsas","asdsa","asdas@adsas","1",1,"1990-10-09T18:30:00.000Z","asdsa","asdsa","4661430166810989","SER6465466"
"Stud2","PlayGroup",12,"adsas","asdsa","asdas@adsas","1",1,"1990-10-09T18:30:00.000Z","asdsa","asdsa","4661430166840669","SER6465466"
"Stud3","PlayGroup",12,"adsas","asdsa","asdas@adsas","1",1,"1990-10-09T18:30:00.000Z","asdsa","asdsa","4661430166846052","SER6465466"
"Stud4","PlayGroup",12,"adsas","asdsa","asdas@adsas","1",1,"1990-10-09T18:30:00.000Z","asdsa","asdsa","4661430166852517","SER6465466"
"Stud5","PlayGroup",12,"adsas","asdsa","asdas@adsas","1",1,"1990-10-09T18:30:00.000Z","asdsa","asdsa","4661430166859025","SER6465466"
"Stud6","PlayGroup",12,"adsas","asdsa","asdas@adsas","1",1,"1990-10-09T18:30:00.000Z","asdsa","asdsa","4661430166864707","SER6465466"
